dataset,model,P_macro,R_macro,F1_macro,Accuracy,best_params
en_avecdoublons,SVM (LinearSVC),0.47407507723710757,0.4759142995119091,0.4745535183941631,0.47787042976266836,"{""clf__C"": 0.3, ""clf__class_weight"": ""balanced""}"
en_avecdoublons,Naive Bayes (MultinomialNB),0.46791097066374754,0.43651192057168153,0.43847570978831,0.4477228992944195,"{""clf__alpha"": 0.1}"
en_avecdoublons,RandomForest (TF-IDF+SVD),0.4150453155775585,0.37249703830181924,0.35676906289281496,0.39031430404105194,"{""rf__max_depth"": null, ""rf__n_estimators"": 400, ""svd__n_components"": 200}"
en_sansdoublons,SVM (LinearSVC),0.47404976746376154,0.4769246688091309,0.4749676122214467,0.4801154586273252,"{""clf__C"": 0.3, ""clf__class_weight"": ""balanced""}"
en_sansdoublons,Naive Bayes (MultinomialNB),0.4482938651479279,0.42280704215365567,0.4223225749443812,0.43521488133418856,"{""clf__alpha"": 0.1}"
en_sansdoublons,RandomForest (TF-IDF+SVD),0.4123539435040414,0.3608704149251958,0.3476079790493186,0.37748556767158437,"{""rf__max_depth"": null, ""rf__n_estimators"": 400, ""svd__n_components"": 200}"
fr_avecdoublons,SVM (LinearSVC),0.4616465279564599,0.4687194943171039,0.4641433063238673,0.46985246953175114,"{""clf__C"": 0.3, ""clf__class_weight"": ""balanced""}"
fr_avecdoublons,Naive Bayes (MultinomialNB),0.44912641968508105,0.4220832312884106,0.4202897335707152,0.43585631815266196,"{""clf__alpha"": 0.1}"
fr_avecdoublons,RandomForest (TF-IDF+SVD),0.3734461432152817,0.35278856627362604,0.33093639013210535,0.3720333547145606,"{""rf__max_depth"": null, ""rf__n_estimators"": 400, ""svd__n_components"": 200}"
fr_sansdoublons,SVM (LinearSVC),0.4668135986648757,0.471732671047412,0.468302644949065,0.4765875561257216,"{""clf__C"": 0.3, ""clf__class_weight"": ""balanced""}"
fr_sansdoublons,Naive Bayes (MultinomialNB),0.4415832167004933,0.4125038623763723,0.4090831737080139,0.42687620269403465,"{""clf__alpha"": 0.1}"
fr_sansdoublons,RandomForest (TF-IDF+SVD),0.37828615798101545,0.34065503162913524,0.3169712627556685,0.3595253367543297,"{""rf__max_depth"": null, ""rf__n_estimators"": 400, ""svd__n_components"": 200}"
it_avecdoublons,SVM (LinearSVC),0.4544377504265135,0.457931412876632,0.45585583628067206,0.46183450930083386,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
it_avecdoublons,Naive Bayes (MultinomialNB),0.4397480660601583,0.4201250289845907,0.41657393953099364,0.43393200769724183,"{""clf__alpha"": 0.1}"
it_avecdoublons,RandomForest (TF-IDF+SVD),0.35459393883121004,0.34301319349825327,0.32244989383664535,0.36112892880051317,"{""rf__max_depth"": null, ""rf__n_estimators"": 200, ""svd__n_components"": 200}"
it_sansdoublons,SVM (LinearSVC),0.4538688557677036,0.4596227878289631,0.4552201616518026,0.46279666452854396,"{""clf__C"": 0.3, ""clf__class_weight"": ""balanced""}"
it_sansdoublons,Naive Bayes (MultinomialNB),0.4432317419390448,0.41216408248679165,0.4115001934136284,0.4243104554201411,"{""clf__alpha"": 0.1}"
it_sansdoublons,RandomForest (TF-IDF+SVD),0.36984646406055277,0.33762673739864973,0.31420176638946085,0.3559974342527261,"{""rf__max_depth"": null, ""rf__n_estimators"": 400, ""svd__n_components"": 200}"
multilingue_avecdoublons,RandomForest (TF-IDF+SVD),0.8063934713868939,0.7836823219271437,0.7899369514768376,0.7892120175344809,"{""rf__max_depth"": null, ""rf__n_estimators"": 400, ""svd__n_components"": 200}"
multilingue_avecdoublons,SVM (LinearSVC),0.7830441877922156,0.7857122846427937,0.7839147312990666,0.7847749385223992,"{""clf__C"": 0.3, ""clf__class_weight"": ""balanced""}"
multilingue_avecdoublons,Naive Bayes (MultinomialNB),0.7034018930278186,0.6838891059936684,0.6894889361300713,0.6888164225382231,"{""clf__alpha"": 0.1}"
multilingue_sansdoublons,SVM (LinearSVC),0.4880013591313587,0.4930047183914776,0.4896486303649462,0.49564719358533793,"{""clf__C"": 0.3, ""clf__class_weight"": ""balanced""}"
multilingue_sansdoublons,Naive Bayes (MultinomialNB),0.47300234554259973,0.44575660599715194,0.4470158838239697,0.45647193585337914,"{""clf__alpha"": 0.1}"
multilingue_sansdoublons,RandomForest (TF-IDF+SVD),0.37832863579451326,0.34767988391228555,0.3302148578620475,0.3644902634593356,"{""rf__max_depth"": null, ""rf__n_estimators"": 400, ""svd__n_components"": 200}"
